"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RXPHMXVLNK-7","224","Adult_emergence","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F","The progressive production of the phenotypic characteristics of an organism. (Maggenti and Maggenti, 2005)","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_VF5179D6HL-7","228","Breeding","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F",,"Time"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_5MGWBV5LLJ-S","12","Circadian_activity_rhythm","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7D7HWNKLHN-C","A circadian rhythm is a roughly 24 hour cycle in the physiological processes of living beings. Circadian rhythms are endogenously generated, although they can be modulated by external cues such as sunlight and temperature. Circadian rhythms are important in determining the sleeping and feeding patterns of all animals (Brady J (1969) How are Insect Circadian Rhythms Controlled Nature, 223, 781-784. Doi : 10.1038/223781a0)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_G1NRNV9BBK-K","10","Clutch","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7D7HWNKLHN-C","Characteristics of the clutch",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SPTKL10744-K","76","Dispersal_behaviour","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","Active or passive attempt to move from a natal breeding site to another breeding site. Dispersal involves three successive behavioural stages called departure, transience and settlement. (Clobert et al. 2001)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","90","Growth_and_development","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_K31M9BMJQV-V","The way an individual grow and develop",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RX3419BMKH-X","80","Intraspecific_relation","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","Relations between individuals belonging to the same species",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8V4Q2GBSND-6","39","Motion_strategies","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","How an individual move (wikipedia","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","123","Nutrition","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_K31M9BMJQV-V",,
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_BSTV0CMT46-D","46","Nutrition_behaviour","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","Behaviour related to resource foranging, handling and consumption",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_HV551N19QV-G","20","Protection_behaviour","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","Any animal behaviour allowing it to escape from a danger or a nocive situation and to survive",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RT61KBNTN7-N","144","Relation","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_K31M9BMJQV-V",,
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4N63TTQPKM-S","4","Reproduction_type","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7D7HWNKLHN-C","How an organism perpetuates the species","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_1F6V6DFNQ2-0","218","Swarming","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F",,"Time"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CNDGRF38H1-V","214","Voltinism","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F","Term used to indicate the number of broods or generations of an organism in a year (wikipedia)","Categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_XTN29C638J-H","78","Active_dispersal","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SPTKL10744-K","Behavioural process where animals can move by themselves","attribute"
